DateTime,Vert Accelerometer,Lat Accelerometer,Long Accelerometer
2024-12-03 14:49:30.429000+00:00,-862,-304,-402
2024-12-03 14:49:30.433000+00:00,-870,-304,-410
2024-12-03 14:49:30.437000+00:00,-874,-316,-437
2024-12-03 14:49:30.441000+00:00,-917,-332,-441
2024-12-03 14:49:30.445000+00:00,-944,-339,-449
2024-12-03 14:49:30.449000+00:00,-948,-371,-464
2024-12-03 14:49:30.453000+00:00,-975,-421,-480
2024-12-03 14:49:30.456000+00:00,-987,-452,-499
2024-12-03 14:49:30.460000+00:00,-1022,-484,-499
2024-12-03 14:49:30.464000+00:00,-1030,-495,-503
2024-12-03 14:49:30.468000+00:00,-1076,-562,-503
2024-12-03 14:49:30.472000+00:00,-1108,-566,-499
2024-12-03 14:49:30.476000+00:00,-1135,-616,-499
2024-12-03 14:49:30.480000+00:00,-1154,-597,-507
2024-12-03 14:49:30.484000+00:00,-1236,-608,-449
2024-12-03 14:49:30.488000+00:00,-1252,-651,-491
2024-12-03 14:49:30.492000+00:00,-1275,-679,-519
2024-12-03 14:49:30.496000+00:00,-1307,-690,-550
2024-12-03 14:49:30.499000+00:00,-1353,-702,-558
2024-12-03 14:49:30.503000+00:00,-1373,-698,-569
2024-12-03 14:49:30.507000+00:00,-1385,-718,-554
2024-12-03 14:49:30.511000+00:00,-1381,-722,-558
2024-12-03 14:49:30.515000+00:00,-1377,-737,-546
2024-12-03 14:49:30.519000+00:00,-1373,-745,-530
2024-12-03 14:49:30.523000+00:00,-1346,-737,-499
2024-12-03 14:49:30.527000+00:00,-1330,-725,-499
2024-12-03 14:49:30.531000+00:00,-1279,-698,-456
2024-12-03 14:49:30.535000+00:00,-1252,-675,-417
2024-12-03 14:49:30.539000+00:00,-1201,-647,-374
2024-12-03 14:49:30.542000+00:00,-1170,-628,-359
2024-12-03 14:49:30.546000+00:00,-1127,-593,-332
2024-12-03 14:49:30.550000+00:00,-1104,-577,-316
2024-12-03 14:49:30.554000+00:00,-1053,-542,-296
2024-12-03 14:49:30.558000+00:00,-1037,-534,-273
2024-12-03 14:49:30.562000+00:00,-998,-495,-257
2024-12-03 14:49:30.566000+00:00,-975,-476,-250
2024-12-03 14:49:30.570000+00:00,-944,-445,-246
2024-12-03 14:49:30.574000+00:00,-940,-429,-238
2024-12-03 14:49:30.578000+00:00,-905,-413,-246
2024-12-03 14:49:30.581000+00:00,-897,-394,-246
2024-12-03 14:49:30.585000+00:00,-858,-394,-250
2024-12-03 14:49:30.589000+00:00,-854,-374,-254
2024-12-03 14:49:30.593000+00:00,-839,-367,-234
2024-12-03 14:49:30.597000+00:00,-827,-359,-226
2024-12-03 14:49:30.601000+00:00,-815,-347,-199
2024-12-03 14:49:30.605000+00:00,-807,-335,-203
2024-12-03 14:49:30.609000+00:00,-796,-308,-195
2024-12-03 14:49:30.613000+00:00,-780,-308,-203
2024-12-03 14:49:30.617000+00:00,-772,-293,-195
2024-12-03 14:49:30.621000+00:00,-768,-308,-195
2024-12-03 14:49:30.624000+00:00,-749,-304,-179
2024-12-03 14:49:30.628000+00:00,-745,-300,-172
2024-12-03 14:49:30.632000+00:00,-741,-320,-144
2024-12-03 14:49:30.636000+00:00,-729,-316,-152
2024-12-03 14:49:30.640000+00:00,-714,-335,-140
2024-12-03 14:49:30.644000+00:00,-702,-339,-144
2024-12-03 14:49:30.648000+00:00,-710,-355,-148
2024-12-03 14:49:30.652000+00:00,-714,-371,-172
2024-12-03 14:49:30.656000+00:00,-710,-394,-203
2024-12-03 14:49:30.660000+00:00,-714,-410,-199
2024-12-03 14:49:30.664000+00:00,-702,-421,-218
2024-12-03 14:49:30.667000+00:00,-710,-429,-218
2024-12-03 14:49:30.671000+00:00,-694,-449,-215
2024-12-03 14:49:30.675000+00:00,-694,-456,-222
2024-12-03 14:49:30.679000+00:00,-694,-468,-222
2024-12-03 14:49:30.683000+00:00,-690,-472,-222
2024-12-03 14:49:30.687000+00:00,-694,-488,-230
2024-12-03 14:49:30.691000+00:00,-706,-484,-222
2024-12-03 14:49:30.695000+00:00,-706,-484,-234
2024-12-03 14:49:30.699000+00:00,-706,-495,-234
2024-12-03 14:49:30.703000+00:00,-706,-507,-242
2024-12-03 14:49:30.706000+00:00,-702,-530,-254
2024-12-03 14:49:30.710000+00:00,-706,-538,-257
2024-12-03 14:49:30.714000+00:00,-698,-538,-254
2024-12-03 14:49:30.718000+00:00,-694,-550,-261
2024-12-03 14:49:30.722000+00:00,-690,-550,-254
2024-12-03 14:49:30.726000+00:00,-690,-554,-254
2024-12-03 14:49:30.730000+00:00,-675,-554,-257
2024-12-03 14:49:30.734000+00:00,-675,-554,-242
2024-12-03 14:49:30.738000+00:00,-667,-573,-254
2024-12-03 14:49:30.742000+00:00,-644,-558,-242
2024-12-03 14:49:30.746000+00:00,-640,-589,-246
2024-12-03 14:49:30.749000+00:00,-628,-597,-250
2024-12-03 14:49:30.753000+00:00,-628,-605,-246
2024-12-03 14:49:30.757000+00:00,-624,-616,-234
2024-12-03 14:49:30.761000+00:00,-624,-624,-238
2024-12-03 14:49:30.765000+00:00,-632,-636,-230
2024-12-03 14:49:30.769000+00:00,-636,-651,-230
2024-12-03 14:49:30.773000+00:00,-644,-655,-238
2024-12-03 14:49:30.777000+00:00,-651,-663,-230
2024-12-03 14:49:30.781000+00:00,-671,-659,-230
2024-12-03 14:49:30.785000+00:00,-671,-667,-246
2024-12-03 14:49:30.789000+00:00,-686,-671,-246
2024-12-03 14:49:30.792000+00:00,-710,-651,-261
2024-12-03 14:49:30.796000+00:00,-718,-647,-265
2024-12-03 14:49:30.800000+00:00,-725,-640,-281
2024-12-03 14:49:30.804000+00:00,-745,-651,-265
2024-12-03 14:49:30.808000+00:00,-764,-632,-281
2024-12-03 14:49:30.812000+00:00,-768,-636,-269
2024-12-03 14:49:30.816000+00:00,-796,-620,-261
2024-12-03 14:49:30.820000+00:00,-823,-593,-257
2024-12-03 14:49:30.824000+00:00,-874,-554,-238
2024-12-03 14:49:30.828000+00:00,-878,-538,-238
2024-12-03 14:49:30.831000+00:00,-913,-484,-242
2024-12-03 14:49:30.835000+00:00,-932,-452,-261
2024-12-03 14:49:30.839000+00:00,-967,-445,-269
2024-12-03 14:49:30.843000+00:00,-991,-441,-265
2024-12-03 14:49:30.847000+00:00,-1014,-371,-293
2024-12-03 14:49:30.851000+00:00,-1014,-359,-300
2024-12-03 14:49:30.855000+00:00,-1030,-308,-320
2024-12-03 14:49:30.859000+00:00,-1037,-293,-320
2024-12-03 14:49:30.863000+00:00,-1069,-269,-304
2024-12-03 14:49:30.867000+00:00,-1076,-265,-293
2024-12-03 14:49:30.871000+00:00,-1115,-222,-261
2024-12-03 14:49:30.874000+00:00,-1143,-218,-250
2024-12-03 14:49:30.878000+00:00,-1193,-203,-187
2024-12-03 14:49:30.882000+00:00,-1229,-199,-176
2024-12-03 14:49:30.886000+00:00,-1268,-183,-152
2024-12-03 14:49:30.890000+00:00,-1299,-168,-144
2024-12-03 14:49:30.894000+00:00,-1342,-133,-156
2024-12-03 14:49:30.898000+00:00,-1365,-125,-164
2024-12-03 14:49:30.902000+00:00,-1400,-113,-211
2024-12-03 14:49:30.906000+00:00,-1420,-105,-226
2024-12-03 14:49:30.910000+00:00,-1435,-101,-261
2024-12-03 14:49:30.914000+00:00,-1443,-117,-289
2024-12-03 14:49:30.917000+00:00,-1439,-137,-308
2024-12-03 14:49:30.921000+00:00,-1431,-160,-328
2024-12-03 14:49:30.925000+00:00,-1392,-191,-339
2024-12-03 14:49:30.929000+00:00,-1373,-218,-335
