DateTime,Interbeat Interval (MS)
2024-12-03 14:49:30.035000+00:00,347
2024-12-03 14:49:30.269000+00:00,257
2024-12-03 14:49:30.503000+00:00,234
2024-12-03 14:49:30.855000+00:00,363
2024-12-03 14:49:31.167000+00:00,285
2024-12-03 14:49:31.480000+00:00,304
2024-12-03 14:49:31.831000+00:00,367
2024-12-03 14:49:32.339000+00:00,500
2024-12-03 14:49:32.613000+00:00,300
2024-12-03 14:49:33.003000+00:00,355
2024-12-03 14:49:33.355000+00:00,375
2024-12-03 14:49:33.550000+00:00,195
2024-12-03 14:49:33.824000+00:00,265
2024-12-03 14:49:34.058000+00:00,234
2024-12-03 14:49:34.292000+00:00,246
2024-12-03 14:49:34.527000+00:00,242
2024-12-03 14:49:34.878000+00:00,347
2024-12-03 14:49:35.152000+00:00,242
2024-12-03 14:49:35.386000+00:00,246
2024-12-03 14:49:36.206000+00:00,839
2024-12-03 14:49:36.636000+00:00,402
2024-12-03 14:49:36.949000+00:00,332
2024-12-03 14:49:37.456000+00:00,511
2024-12-03 14:49:38.277000+00:00,808
2024-12-03 14:49:38.785000+00:00,507
2024-12-03 14:49:39.292000+00:00,527
2024-12-03 14:49:39.917000+00:00,613
2024-12-03 14:49:42.066000+00:00,0
2024-12-03 14:49:42.378000+00:00,328
2024-12-03 14:49:42.691000+00:00,285
2024-12-03 14:49:43.121000+00:00,437
2024-12-03 14:49:43.472000+00:00,367
2024-12-03 14:49:43.746000+00:00,261
2024-12-03 14:49:44.136000+00:00,390
2024-12-03 14:49:44.449000+00:00,308
2024-12-03 14:49:44.683000+00:00,238
2024-12-03 14:49:44.878000+00:00,195
2024-12-03 14:49:45.074000+00:00,195
2024-12-03 14:49:45.269000+00:00,195
2024-12-03 14:49:45.464000+00:00,195
2024-12-03 14:49:45.660000+00:00,195
2024-12-03 14:49:45.855000+00:00,195
2024-12-03 14:49:46.050000+00:00,195
2024-12-03 14:49:46.246000+00:00,195
2024-12-03 14:49:46.441000+00:00,195
2024-12-03 14:49:46.636000+00:00,195
2024-12-03 14:49:46.831000+00:00,195
2024-12-03 14:49:47.027000+00:00,195
2024-12-03 14:49:47.378000+00:00,339
2024-12-03 14:49:47.730000+00:00,378
2024-12-03 14:49:48.199000+00:00,476
2024-12-03 14:49:48.472000+00:00,242
2024-12-03 14:49:48.667000+00:00,195
2024-12-03 14:49:48.863000+00:00,195
2024-12-03 14:49:49.058000+00:00,226
2024-12-03 14:49:49.253000+00:00,195
2024-12-03 14:49:49.605000+00:00,328
2024-12-03 14:49:49.878000+00:00,277
2024-12-03 14:49:50.074000+00:00,195
2024-12-03 14:49:50.269000+00:00,195
2024-12-03 14:49:50.464000+00:00,195
2024-12-03 14:49:50.972000+00:00,515
2024-12-03 14:49:51.167000+00:00,195
2024-12-03 14:49:51.441000+00:00,265
2024-12-03 14:49:51.714000+00:00,269
2024-12-03 14:49:51.910000+00:00,195
2024-12-03 14:49:52.105000+00:00,195
2024-12-03 14:49:52.300000+00:00,195
2024-12-03 14:49:52.496000+00:00,195
2024-12-03 14:49:53.511000+00:00,1019
2024-12-03 14:49:53.706000+00:00,195
2024-12-03 14:49:53.902000+00:00,195
2024-12-03 14:49:54.097000+00:00,195
2024-12-03 14:49:54.292000+00:00,195
2024-12-03 14:49:54.488000+00:00,195
2024-12-03 14:49:54.683000+00:00,195
2024-12-03 14:49:54.878000+00:00,195
2024-12-03 14:49:55.074000+00:00,195
2024-12-03 14:49:55.347000+00:00,281
2024-12-03 14:49:55.933000+00:00,593
2024-12-03 14:49:56.206000+00:00,265
2024-12-03 14:49:56.402000+00:00,195
2024-12-03 14:49:56.792000+00:00,378
2024-12-03 14:49:56.988000+00:00,195
2024-12-03 14:49:57.300000+00:00,320
2024-12-03 14:49:57.769000+00:00,484
2024-12-03 14:49:58.003000+00:00,222
2024-12-03 14:49:59.331000+00:00,1324
2024-12-03 14:49:59.722000+00:00,375
2024-12-03 14:50:00.113000+00:00,398
2024-12-03 14:50:00.542000+00:00,429
2024-12-03 14:50:01.011000+00:00,476
2024-12-03 14:50:01.363000+00:00,343
2024-12-03 14:50:01.558000+00:00,195
2024-12-03 14:50:01.910000+00:00,351
2024-12-03 14:50:02.105000+00:00,195
2024-12-03 14:50:02.300000+00:00,195
2024-12-03 14:50:02.496000+00:00,195
2024-12-03 14:50:02.691000+00:00,195
2024-12-03 14:50:02.886000+00:00,195
2024-12-03 14:50:03.121000+00:00,234
2024-12-03 14:50:03.394000+00:00,269
2024-12-03 14:50:03.589000+00:00,195
2024-12-03 14:50:03.785000+00:00,195
2024-12-03 14:50:03.980000+00:00,195
2024-12-03 14:50:04.175000+00:00,195
2024-12-03 14:50:04.371000+00:00,195
2024-12-03 14:50:04.566000+00:00,195
2024-12-03 14:50:04.761000+00:00,195
2024-12-03 14:50:04.996000+00:00,246
2024-12-03 14:50:05.191000+00:00,195
2024-12-03 14:50:05.386000+00:00,195
2024-12-03 14:50:05.581000+00:00,195
2024-12-03 14:50:05.972000+00:00,394
2024-12-03 14:50:06.324000+00:00,339
2024-12-03 14:50:06.597000+00:00,296
2024-12-03 14:50:06.792000+00:00,195
2024-12-03 14:50:07.652000+00:00,843
2024-12-03 14:50:08.081000+00:00,414
2024-12-03 14:50:08.472000+00:00,398
2024-12-03 14:50:08.824000+00:00,359
2024-12-03 14:50:09.292000+00:00,460
2024-12-03 14:50:09.722000+00:00,429
2024-12-03 14:50:10.152000+00:00,429
2024-12-03 14:50:10.581000+00:00,429
2024-12-03 14:50:10.777000+00:00,195
2024-12-03 14:50:10.972000+00:00,195
2024-12-03 14:50:11.167000+00:00,195
2024-12-03 14:50:11.363000+00:00,195
2024-12-03 14:50:11.558000+00:00,195
2024-12-03 14:50:11.831000+00:00,273
2024-12-03 14:50:12.261000+00:00,429
2024-12-03 14:50:12.691000+00:00,421
2024-12-03 14:50:12.886000+00:00,195
2024-12-03 14:50:13.081000+00:00,195
2024-12-03 14:50:13.511000+00:00,437
2024-12-03 14:50:13.902000+00:00,390
2024-12-03 14:50:14.253000+00:00,339
2024-12-03 14:50:14.722000+00:00,480
2024-12-03 14:50:14.917000+00:00,195
2024-12-03 14:50:15.113000+00:00,195
2024-12-03 14:50:15.308000+00:00,195
2024-12-03 14:50:15.503000+00:00,195
2024-12-03 14:50:15.699000+00:00,195
2024-12-03 14:50:15.894000+00:00,195
2024-12-03 14:50:16.089000+00:00,195
2024-12-03 14:50:16.285000+00:00,195
2024-12-03 14:50:16.480000+00:00,195
2024-12-03 14:50:16.753000+00:00,261
2024-12-03 14:50:16.949000+00:00,195
2024-12-03 14:50:17.144000+00:00,195
2024-12-03 14:50:17.339000+00:00,195
2024-12-03 14:50:17.652000+00:00,324
2024-12-03 14:50:17.847000+00:00,195
2024-12-03 14:50:18.081000+00:00,234
2024-12-03 14:50:18.277000+00:00,195
2024-12-03 14:50:18.511000+00:00,234
2024-12-03 14:50:18.706000+00:00,195
2024-12-03 14:50:18.980000+00:00,265
2024-12-03 14:50:19.175000+00:00,195
2024-12-03 14:50:19.371000+00:00,195
2024-12-03 14:50:19.566000+00:00,195
2024-12-03 14:50:19.761000+00:00,195
2024-12-03 14:50:19.956000+00:00,195
2024-12-03 14:50:20.152000+00:00,195
2024-12-03 14:50:20.347000+00:00,195
2024-12-03 14:50:20.581000+00:00,242
2024-12-03 14:50:21.011000+00:00,429
2024-12-03 14:50:21.206000+00:00,195
