DateTime,Vert Accelerometer,Lat Accelerometer,Long Accelerometer
2024-12-03 14:49:30.429000+00:00,-694,-47,-663
2024-12-03 14:49:30.433000+00:00,-741,-62,-573
2024-12-03 14:49:30.437000+00:00,-764,-86,-573
2024-12-03 14:49:30.441000+00:00,-780,-59,-601
2024-12-03 14:49:30.445000+00:00,-796,-47,-616
2024-12-03 14:49:30.449000+00:00,-815,-39,-585
2024-12-03 14:49:30.453000+00:00,-831,-35,-562
2024-12-03 14:49:30.456000+00:00,-846,-12,-569
2024-12-03 14:49:30.460000+00:00,-835,-27,-554
2024-12-03 14:49:30.464000+00:00,-823,-16,-523
2024-12-03 14:49:30.468000+00:00,-827,-27,-503
2024-12-03 14:49:30.472000+00:00,-827,-16,-499
2024-12-03 14:49:30.476000+00:00,-831,-12,-499
2024-12-03 14:49:30.480000+00:00,-835,-23,-491
2024-12-03 14:49:30.484000+00:00,-831,-39,-511
2024-12-03 14:49:30.488000+00:00,-823,-51,-558
2024-12-03 14:49:30.492000+00:00,-835,-47,-566
2024-12-03 14:49:30.496000+00:00,-831,-51,-581
2024-12-03 14:49:30.499000+00:00,-819,-66,-581
2024-12-03 14:49:30.503000+00:00,-803,-74,-577
2024-12-03 14:49:30.507000+00:00,-788,-86,-577
2024-12-03 14:49:30.511000+00:00,-772,-86,-608
2024-12-03 14:49:30.515000+00:00,-768,-98,-612
2024-12-03 14:49:30.519000+00:00,-768,-55,-644
2024-12-03 14:49:30.523000+00:00,-764,-62,-651
2024-12-03 14:49:30.527000+00:00,-784,-66,-667
2024-12-03 14:49:30.531000+00:00,-772,-47,-675
2024-12-03 14:49:30.535000+00:00,-745,-23,-675
2024-12-03 14:49:30.539000+00:00,-714,-39,-683
2024-12-03 14:49:30.542000+00:00,-679,-74,-710
2024-12-03 14:49:30.546000+00:00,-683,-105,-714
2024-12-03 14:49:30.550000+00:00,-686,-113,-690
2024-12-03 14:49:30.554000+00:00,-706,-82,-659
2024-12-03 14:49:30.558000+00:00,-702,-105,-671
2024-12-03 14:49:30.562000+00:00,-690,-78,-679
2024-12-03 14:49:30.566000+00:00,-686,-86,-683
2024-12-03 14:49:30.570000+00:00,-690,-86,-675
2024-12-03 14:49:30.574000+00:00,-690,-78,-690
2024-12-03 14:49:30.578000+00:00,-686,-82,-694
2024-12-03 14:49:30.581000+00:00,-690,-86,-694
2024-12-03 14:49:30.585000+00:00,-683,-90,-683
2024-12-03 14:49:30.589000+00:00,-690,-109,-698
2024-12-03 14:49:30.593000+00:00,-694,-117,-706
2024-12-03 14:49:30.597000+00:00,-714,-86,-714
2024-12-03 14:49:30.601000+00:00,-714,-78,-710
2024-12-03 14:49:30.605000+00:00,-737,-90,-722
2024-12-03 14:49:30.609000+00:00,-737,-86,-718
2024-12-03 14:49:30.613000+00:00,-749,-90,-702
2024-12-03 14:49:30.617000+00:00,-749,-86,-702
2024-12-03 14:49:30.621000+00:00,-753,-90,-679
2024-12-03 14:49:30.624000+00:00,-749,-98,-686
2024-12-03 14:49:30.628000+00:00,-749,-98,-686
2024-12-03 14:49:30.632000+00:00,-741,-101,-683
2024-12-03 14:49:30.636000+00:00,-729,-94,-663
2024-12-03 14:49:30.640000+00:00,-718,-113,-663
2024-12-03 14:49:30.644000+00:00,-694,-113,-659
