DateTime,Interbeat Interval (MS)
2024-12-03 20:55:02.597000+00:00,742
2024-12-03 20:55:03.339000+00:00,742
2024-12-03 20:55:04.081000+00:00,738
2024-12-03 20:55:04.824000+00:00,738
2024-12-03 20:55:05.566000+00:00,742
2024-12-03 20:55:06.308000+00:00,750
2024-12-03 20:55:07.050000+00:00,730
2024-12-03 20:55:07.753000+00:00,734
2024-12-03 20:55:08.496000+00:00,738
2024-12-03 20:55:09.238000+00:00,742
2024-12-03 20:55:10.019000+00:00,750
2024-12-03 20:55:10.761000+00:00,746
2024-12-03 20:55:11.464000+00:00,734
2024-12-03 20:55:12.206000+00:00,726
2024-12-03 20:55:12.910000+00:00,718
2024-12-03 20:55:13.652000+00:00,707
2024-12-03 20:55:14.355000+00:00,703
2024-12-03 20:55:15.019000+00:00,691
2024-12-03 20:55:15.722000+00:00,683
2024-12-03 20:55:16.386000+00:00,675
2024-12-03 20:55:17.089000+00:00,683
2024-12-03 20:55:17.753000+00:00,683
2024-12-03 20:55:18.417000+00:00,675
2024-12-03 20:55:19.081000+00:00,667
2024-12-03 20:55:19.785000+00:00,699
2024-12-03 20:55:20.488000+00:00,703
2024-12-03 20:55:21.191000+00:00,691
2024-12-03 20:55:21.894000+00:00,710
2024-12-03 20:55:22.636000+00:00,714
2024-12-03 20:55:23.339000+00:00,722
2024-12-03 20:55:24.042000+00:00,718
2024-12-03 20:55:24.785000+00:00,738
2024-12-03 20:55:25.527000+00:00,722
2024-12-03 20:55:26.230000+00:00,710
2024-12-03 20:55:26.933000+00:00,710
2024-12-03 20:55:27.636000+00:00,691
2024-12-03 20:55:28.339000+00:00,687
2024-12-03 20:55:29.003000+00:00,667
2024-12-03 20:55:29.667000+00:00,675
2024-12-03 20:55:30.331000+00:00,671
2024-12-03 20:55:31.035000+00:00,683
2024-12-03 20:55:31.738000+00:00,699
2024-12-03 20:55:32.441000+00:00,726
2024-12-03 20:55:33.183000+00:00,722
2024-12-03 20:55:33.925000+00:00,738
2024-12-03 20:55:34.667000+00:00,742
2024-12-03 20:55:35.371000+00:00,734
2024-12-03 20:55:36.113000+00:00,738
2024-12-03 20:55:36.855000+00:00,726
2024-12-03 20:55:37.558000+00:00,726
2024-12-03 20:55:38.300000+00:00,730
2024-12-03 20:55:39.042000+00:00,734
2024-12-03 20:55:39.785000+00:00,746
2024-12-03 20:55:40.527000+00:00,734
2024-12-03 20:55:41.230000+00:00,726
2024-12-03 20:55:41.972000+00:00,722
2024-12-03 20:55:42.714000+00:00,730
2024-12-03 20:55:43.456000+00:00,738
2024-12-03 20:55:44.160000+00:00,734
2024-12-03 20:55:44.902000+00:00,730
2024-12-03 20:55:45.644000+00:00,738
2024-12-03 20:55:46.386000+00:00,738
2024-12-03 20:55:47.128000+00:00,742
2024-12-03 20:55:47.871000+00:00,742
2024-12-03 20:55:48.613000+00:00,753
2024-12-03 20:55:49.355000+00:00,750
2024-12-03 20:55:50.097000+00:00,726
2024-12-03 20:55:50.800000+00:00,718
2024-12-03 20:55:51.503000+00:00,691
2024-12-03 20:55:52.206000+00:00,687
2024-12-03 20:55:52.871000+00:00,687
2024-12-03 20:55:53.574000+00:00,691
2024-12-03 20:55:54.277000+00:00,707
2024-12-03 20:55:55.019000+00:00,734
2024-12-03 20:55:55.761000+00:00,761
2024-12-03 20:55:56.542000+00:00,781
2024-12-03 20:55:57.324000+00:00,777
2024-12-03 20:55:58.144000+00:00,796
2024-12-03 20:55:58.925000+00:00,792
2024-12-03 20:55:59.706000+00:00,773
2024-12-03 20:56:00.488000+00:00,785
2024-12-03 20:56:01.269000+00:00,769
2024-12-03 20:56:02.011000+00:00,777
2024-12-03 20:56:02.792000+00:00,777
2024-12-03 20:56:03.574000+00:00,761
2024-12-03 20:56:04.316000+00:00,753
2024-12-03 20:56:05.058000+00:00,750
2024-12-03 20:56:05.800000+00:00,738
2024-12-03 20:56:06.542000+00:00,738
2024-12-03 20:56:07.285000+00:00,726
2024-12-03 20:56:07.988000+00:00,718
2024-12-03 20:56:08.691000+00:00,707
2024-12-03 20:56:09.394000+00:00,707
2024-12-03 20:56:10.097000+00:00,695
2024-12-03 20:56:10.761000+00:00,675
2024-12-03 20:56:11.464000+00:00,683
2024-12-03 20:56:12.128000+00:00,679
2024-12-03 20:56:12.831000+00:00,695
2024-12-03 20:56:13.535000+00:00,703
2024-12-03 20:56:14.238000+00:00,714
2024-12-03 20:56:14.980000+00:00,734
2024-12-03 20:56:15.761000+00:00,753
2024-12-03 20:56:16.503000+00:00,773
2024-12-03 20:56:17.324000+00:00,789
2024-12-03 20:56:18.105000+00:00,804
2024-12-03 20:56:18.925000+00:00,812
2024-12-03 20:56:19.746000+00:00,820
2024-12-03 20:56:20.566000+00:00,812
2024-12-03 20:56:21.347000+00:00,804
2024-12-03 20:56:22.128000+00:00,769
2024-12-03 20:56:22.910000+00:00,761
2024-12-03 20:56:23.613000+00:00,707
2024-12-03 20:56:24.316000+00:00,707
2024-12-03 20:56:25.019000+00:00,714
2024-12-03 20:56:25.722000+00:00,710
2024-12-03 20:56:26.464000+00:00,718
2024-12-03 20:56:27.167000+00:00,710
2024-12-03 20:56:27.871000+00:00,722
2024-12-03 20:56:28.613000+00:00,738
2024-12-03 20:56:29.394000+00:00,757
2024-12-03 20:56:30.136000+00:00,753
2024-12-03 20:56:30.878000+00:00,730
2024-12-03 20:56:31.621000+00:00,742
2024-12-03 20:56:32.324000+00:00,714
2024-12-03 20:56:33.027000+00:00,695
2024-12-03 20:56:33.730000+00:00,699
2024-12-03 20:56:34.394000+00:00,683
2024-12-03 20:56:35.058000+00:00,675
2024-12-03 20:56:35.761000+00:00,679
2024-12-03 20:56:36.464000+00:00,699
2024-12-03 20:56:37.167000+00:00,726
2024-12-03 20:56:37.949000+00:00,750
2024-12-03 20:56:38.691000+00:00,769
2024-12-03 20:56:39.472000+00:00,769
2024-12-03 20:56:40.253000+00:00,769
2024-12-03 20:56:40.996000+00:00,761
2024-12-03 20:56:41.738000+00:00,753
2024-12-03 20:56:42.519000+00:00,750
2024-12-03 20:56:43.261000+00:00,757
2024-12-03 20:56:44.042000+00:00,765
2024-12-03 20:56:44.824000+00:00,781
2024-12-03 20:56:45.566000+00:00,773
2024-12-03 20:56:46.347000+00:00,746
2024-12-03 20:56:47.050000+00:00,734
2024-12-03 20:56:47.792000+00:00,734
2024-12-03 20:56:48.535000+00:00,730
2024-12-03 20:56:49.238000+00:00,718
2024-12-03 20:56:49.980000+00:00,734
2024-12-03 20:56:50.722000+00:00,738
2024-12-03 20:56:51.464000+00:00,730
2024-12-03 20:56:52.206000+00:00,742
2024-12-03 20:56:52.949000+00:00,738
2024-12-03 20:56:53.691000+00:00,742
2024-12-03 20:56:54.394000+00:00,734
2024-12-03 20:56:55.136000+00:00,738
2024-12-03 20:56:55.878000+00:00,722
2024-12-03 20:56:56.581000+00:00,726
2024-12-03 20:56:57.324000+00:00,718
2024-12-03 20:56:58.027000+00:00,730
2024-12-03 20:56:58.769000+00:00,714
2024-12-03 20:56:59.472000+00:00,718
2024-12-03 20:57:00.214000+00:00,734
2024-12-03 20:57:00.956000+00:00,726
2024-12-03 20:57:01.660000+00:00,726
2024-12-03 20:57:02.402000+00:00,718
2024-12-03 20:57:03.105000+00:00,710
2024-12-03 20:57:03.808000+00:00,703
2024-12-03 20:57:04.511000+00:00,699
2024-12-03 20:57:05.175000+00:00,671
2024-12-03 20:57:05.839000+00:00,679
2024-12-03 20:57:06.542000+00:00,683
2024-12-03 20:57:07.246000+00:00,695
2024-12-03 20:57:07.910000+00:00,699
2024-12-03 20:57:08.652000+00:00,707
2024-12-03 20:57:09.355000+00:00,714
2024-12-03 20:57:10.058000+00:00,710
2024-12-03 20:57:10.800000+00:00,726
2024-12-03 20:57:11.542000+00:00,738
2024-12-03 20:57:12.285000+00:00,742
2024-12-03 20:57:12.988000+00:00,730
2024-12-03 20:57:13.730000+00:00,746
2024-12-03 20:57:14.472000+00:00,742
2024-12-03 20:57:15.253000+00:00,765
