time,IBI
97.46,449.0
97.929,457.0
98.398,468.0
98.867,468.0
99.335,472.0
99.804,480.0
100.312,480.0
100.781,488.0
101.289,488.0
101.757,480.0
102.226,472.0
102.695,472.0
103.164,468.0
103.632,472.0
104.101,464.0
104.57,464.0
105.039,460.0
105.507,460.0
105.937,457.0
106.406,460.0
106.875,457.0
107.343,453.0
107.773,449.0
108.203,445.0
108.671,441.0
109.101,437.0
109.531,437.0
109.96,437.0
110.429,441.0
110.859,449.0
111.328,445.0
111.757,449.0
112.226,453.0
112.656,453.0
113.125,453.0
113.593,460.0
114.023,460.0
114.492,457.0
114.96,453.0
115.39,453.0
115.859,453.0
116.289,445.0
116.757,441.0
117.187,445.0
117.617,441.0
118.085,441.0
118.515,441.0
118.945,437.0
119.375,437.0
119.843,445.0
120.273,449.0
120.742,453.0
121.171,449.0
121.64,453.0
122.07,449.0
122.539,445.0
122.968,445.0
123.398,437.0
123.867,437.0
124.296,433.0
124.726,429.0
125.156,429.0
125.585,437.0
126.015,437.0
126.484,449.0
126.953,476.0
127.46,511.0
128.007,531.0
128.515,535.0
129.062,531.0
129.57,519.0
130.078,519.0
130.625,511.0
131.093,500.0
131.601,476.0
132.07,476.0
132.539,460.0
132.968,457.0
133.437,453.0
133.867,441.0
134.296,441.0
134.765,441.0
135.195,441.0
135.625,437.0
136.054,437.0
136.523,437.0
136.953,441.0
137.382,433.0
137.812,437.0
138.242,437.0
138.71,433.0
139.14,437.0
139.57,433.0
140.0,437.0
140.429,433.0
140.859,437.0
141.289,433.0
141.757,433.0
142.187,437.0
142.617,437.0
143.046,433.0
143.476,441.0
143.945,441.0
144.375,441.0
144.804,441.0
145.273,441.0
145.703,441.0
146.132,445.0
146.601,441.0
147.031,437.0
147.46,437.0
147.89,441.0
148.359,445.0
148.789,453.0
149.257,453.0
149.726,460.0
150.156,460.0
150.625,460.0
151.093,460.0
151.562,468.0
152.031,460.0
152.5,457.0
152.929,453.0
153.398,449.0
153.828,449.0
154.296,453.0
154.726,457.0
155.195,468.0
155.703,472.0
156.171,472.0
156.64,468.0
157.07,460.0
157.539,457.0
158.007,453.0
158.437,449.0
158.906,453.0
159.375,457.0
159.804,464.0
160.312,476.0
160.781,484.0
161.289,492.0
161.757,496.0
162.265,496.0
162.773,500.0
163.281,496.0
163.75,488.0
164.218,480.0
164.687,472.0
165.156,468.0
165.625,460.0
166.093,457.0
166.562,468.0
167.031,468.0
167.5,476.0
167.968,476.0
168.476,480.0
168.945,484.0
169.414,480.0
169.921,476.0
170.39,472.0
170.859,472.0
171.328,468.0
171.796,460.0
172.226,464.0
172.695,468.0
173.203,484.0
173.71,496.0
174.218,511.0
174.726,515.0
175.234,503.0
175.742,503.0
176.21,492.0
176.718,484.0
177.187,476.0
177.656,472.0
178.125,460.0
178.593,460.0
179.023,464.0
179.492,468.0
180.0,472.0
180.468,480.0
180.937,488.0
181.445,492.0
181.953,496.0
182.421,488.0
182.929,484.0
183.398,480.0
183.867,472.0
184.335,464.0
184.804,472.0
185.273,468.0
185.742,476.0
186.21,480.0
186.718,492.0
187.226,503.0
187.734,519.0
188.281,519.0
188.789,519.0
189.296,511.0
189.804,503.0
190.312,496.0
190.781,488.0
191.25,480.0
191.757,476.0
192.226,472.0
192.695,480.0
193.164,480.0
193.671,492.0
194.179,500.0
194.687,503.0
195.195,507.0
195.703,507.0
196.171,500.0
196.679,500.0
197.187,496.0
197.656,488.0
198.164,480.0
198.632,476.0
199.101,476.0
199.57,472.0
200.039,480.0
200.546,484.0
201.015,492.0
201.523,500.0
202.031,503.0
202.539,511.0
203.046,511.0
203.554,511.0
204.101,511.0
204.57,503.0
205.078,503.0
205.585,484.0
206.054,484.0
206.523,472.0
207.031,480.0
207.5,476.0
207.968,480.0
208.437,484.0
208.945,488.0
209.414,484.0
209.921,484.0
210.39,484.0
210.859,480.0
211.367,484.0
211.835,484.0
212.304,476.0
212.812,480.0
213.281,472.0
213.75,468.0
214.218,476.0
214.687,480.0
215.195,503.0
215.742,519.0
216.25,523.0
216.757,523.0
217.265,511.0
217.773,503.0
218.281,507.0
218.789,500.0
219.296,496.0
219.765,492.0
220.273,488.0
220.742,476.0
221.21,468.0
221.679,464.0
222.148,464.0
222.617,464.0
223.085,472.0
223.554,480.0
224.062,484.0
224.531,488.0
225.039,488.0
225.507,488.0
225.976,480.0
226.484,472.0
226.953,472.0
227.421,468.0
227.89,464.0
228.32,464.0
228.793,460.0
229.257,464.0
229.726,464.0
230.195,468.0
230.664,476.0
231.171,488.0
231.64,496.0
232.148,500.0
232.656,500.0
233.164,500.0
233.632,488.0
234.14,484.0
234.609,476.0
235.078,476.0
235.546,468.0
236.015,468.0
236.484,464.0
236.953,468.0
237.421,476.0
237.929,503.0
238.476,531.0
239.023,546.0
239.57,554.0
240.117,546.0
240.664,535.0
241.171,519.0
241.679,507.0
242.187,492.0
242.656,492.0
243.164,488.0
243.632,488.0
244.14,492.0
244.648,500.0
245.117,500.0
245.625,496.0
246.132,492.0
246.601,496.0
247.109,500.0
247.617,511.0
248.125,511.0
248.632,511.0
249.14,507.0
249.648,488.0
250.156,492.0
250.625,484.0
251.093,476.0
251.562,480.0
252.07,484.0
252.539,484.0
253.046,492.0
253.515,492.0
254.023,492.0
254.531,488.0
255.0,488.0
255.468,484.0
255.976,480.0
256.445,480.0
256.953,488.0
257.421,492.0
257.929,488.0
258.398,488.0
258.906,488.0
259.375,492.0
259.882,492.0
260.351,492.0
260.859,496.0
261.367,492.0
261.835,488.0
262.343,480.0
262.812,476.0
263.281,472.0
263.75,476.0
264.218,476.0
264.726,488.0
265.234,500.0
265.742,511.0
266.21,496.0
266.718,496.0
267.226,496.0
267.695,492.0
268.203,492.0
268.671,488.0
269.179,488.0
269.648,484.0
270.156,480.0
270.625,476.0
271.093,472.0
271.562,468.0
272.031,468.0
272.5,468.0
272.968,464.0
273.437,468.0
273.906,468.0
274.375,468.0
274.843,472.0
275.312,468.0
275.781,476.0
276.289,488.0
276.757,496.0
277.265,507.0
277.773,507.0
278.281,511.0
278.789,503.0
279.296,488.0
279.765,492.0
280.273,484.0
280.742,488.0
281.25,480.0
281.718,484.0
282.187,468.0
282.656,472.0
283.125,468.0
283.593,464.0
284.062,468.0
284.531,480.0
285.039,488.0
285.507,492.0
286.015,500.0
286.523,492.0
286.992,492.0
287.5,484.0
287.968,484.0
288.437,472.0
288.906,472.0
289.375,468.0
289.843,468.0
290.312,464.0
290.781,464.0
291.25,460.0
291.718,464.0
292.187,472.0
292.656,480.0
293.164,496.0
293.671,503.0
294.179,515.0
294.687,515.0
295.234,515.0
295.742,511.0
296.25,503.0
296.718,492.0
297.226,488.0
297.695,476.0
298.164,472.0
298.632,468.0
299.101,464.0
299.57,468.0
300.039,472.0
300.507,484.0
301.015,488.0
301.484,492.0
301.992,492.0
302.5,496.0
303.007,500.0
303.476,496.0
303.984,492.0
304.453,492.0
304.96,480.0
305.429,480.0
305.898,476.0
306.367,468.0
306.835,468.0
307.304,464.0
307.773,460.0
308.242,464.0
308.71,460.0
309.14,460.0
309.609,464.0
310.078,464.0
310.585,480.0
311.054,503.0
311.562,507.0
312.109,515.0
312.617,511.0
313.085,496.0
313.593,492.0
314.062,480.0
314.57,476.0
315.039,468.0
315.507,468.0
315.976,468.0
316.445,472.0
316.914,464.0
317.343,457.0
317.812,453.0
318.242,453.0
318.71,449.0
319.14,449.0
319.609,457.0
320.078,472.0
320.585,480.0
321.054,476.0
321.523,480.0
321.992,484.0
322.5,488.0
322.968,484.0
323.476,484.0
323.945,484.0
324.414,476.0
324.921,476.0
325.39,476.0
325.859,468.0
326.328,476.0
326.796,472.0
327.265,476.0
327.734,472.0
328.242,476.0
328.71,480.0
329.179,476.0
329.648,472.0
330.117,472.0
330.585,472.0
331.054,464.0
331.523,464.0
331.992,457.0
332.421,453.0
332.89,453.0
333.359,453.0
333.793,449.0
334.257,457.0
334.726,460.0
335.156,460.0
335.625,460.0
336.093,453.0
336.523,453.0
336.992,449.0
337.421,441.0
337.89,445.0
338.32,441.0
338.75,445.0
339.218,441.0
339.648,441.0
340.078,441.0
340.546,441.0
340.976,441.0
341.406,441.0
341.875,453.0
342.304,453.0
342.773,457.0
343.242,453.0
343.671,453.0
344.14,453.0
344.57,453.0
345.039,449.0
345.468,445.0
345.937,445.0
346.367,441.0
346.796,433.0
347.226,429.0
347.656,429.0
348.085,433.0
348.515,429.0
348.945,429.0
349.375,429.0
349.804,429.0
350.234,425.0
350.664,425.0
351.093,429.0
351.523,429.0
351.953,437.0
352.382,437.0
352.851,453.0
353.32,460.0
353.789,468.0
354.257,480.0
354.765,484.0
355.234,472.0
355.703,472.0
356.171,468.0
356.64,468.0
357.109,468.0
357.578,460.0
358.007,457.0
358.476,449.0
358.906,445.0
359.335,437.0
359.804,437.0
360.234,437.0
360.664,437.0
361.093,441.0
361.562,441.0
361.992,437.0
362.421,441.0
362.851,441.0
363.32,445.0
363.75,441.0
364.179,441.0
364.648,441.0
365.078,437.0
365.507,437.0
365.937,433.0
366.367,433.0
366.796,429.0
367.226,433.0
367.656,433.0
368.125,437.0
368.554,437.0
368.984,441.0
369.453,445.0
369.882,445.0
370.312,449.0
370.781,453.0
371.25,449.0
371.679,449.0
372.148,449.0
372.578,449.0
373.007,445.0
373.476,441.0
374.335,
374.804,437.0
375.234,441.0
375.664,441.0
376.132,445.0
376.562,445.0
376.992,445.0
377.46,453.0
377.929,453.0
378.359,453.0
378.828,453.0
379.257,453.0
379.726,449.0
380.156,453.0
380.625,457.0
381.093,460.0
381.562,464.0
382.031,468.0
382.5,468.0
382.968,464.0
383.437,464.0
383.906,464.0
384.335,460.0
384.804,464.0
385.273,460.0
385.742,457.0
386.171,457.0
386.64,457.0
387.109,460.0
387.578,464.0
388.046,464.0
388.515,464.0
388.945,460.0
389.414,457.0
389.882,453.0
390.312,449.0
390.781,449.0
391.21,445.0
391.679,457.0
392.148,457.0
392.578,464.0
393.046,464.0
393.515,464.0
393.984,464.0
394.453,464.0
394.921,472.0
395.39,464.0
395.859,468.0
396.328,464.0
396.796,460.0
397.226,453.0
397.695,453.0
398.125,445.0
398.593,449.0
399.023,453.0
399.492,449.0
399.96,457.0
400.39,457.0
400.859,457.0
401.328,453.0
401.757,457.0
402.226,460.0
402.695,453.0
403.164,460.0
403.593,457.0
404.062,453.0
404.531,460.0
404.96,457.0
405.429,460.0
405.898,453.0
406.328,457.0
406.796,457.0
407.265,464.0
407.734,472.0
408.242,488.0
408.71,492.0
409.218,492.0
409.687,492.0
410.195,492.0
410.664,484.0
411.171,484.0
411.64,484.0
412.109,476.0
412.617,476.0
413.085,476.0
413.554,472.0
414.023,476.0
414.492,476.0
414.96,472.0
415.468,476.0
415.937,476.0
416.406,472.0
416.875,476.0
417.382,484.0
417.851,488.0
418.359,488.0
418.828,484.0
419.296,484.0
419.804,492.0
420.273,484.0
420.781,488.0
421.25,484.0
421.718,472.0
422.187,468.0
422.656,460.0
423.125,457.0
423.593,457.0
424.023,457.0
424.492,464.0
424.96,468.0
425.429,472.0
425.898,476.0
426.406,472.0
426.875,472.0
427.343,464.0
427.773,464.0
428.242,464.0
428.71,460.0
429.179,464.0
429.648,464.0
430.117,457.0
430.546,457.0
431.015,449.0
431.445,449.0
431.914,449.0
432.343,445.0
432.812,449.0
433.242,449.0
433.71,457.0
434.179,453.0
434.609,453.0
435.078,453.0
435.507,457.0
435.976,460.0
436.445,460.0
436.914,468.0
437.382,476.0
437.89,480.0
438.359,480.0
438.828,484.0
439.335,488.0
439.804,488.0
440.312,484.0
440.781,476.0
441.25,476.0
441.718,476.0
442.187,468.0
442.656,464.0
443.125,468.0
443.593,464.0
444.062,460.0
444.531,468.0
445.0,468.0
445.468,484.0
445.976,496.0
446.484,511.0
446.992,503.0
447.5,507.0
448.007,511.0
448.515,519.0
449.062,527.0
449.57,523.0
450.078,515.0
450.625,511.0
451.132,507.0
451.601,503.0
452.109,503.0
452.617,500.0
453.125,503.0
453.632,503.0
454.14,515.0
454.648,519.0
455.195,515.0
455.703,515.0
