time,IBI
0.976,472.0
1.445,472.0
1.914,472.0
2.382,476.0
2.851,480.0
3.359,484.0
3.828,484.0
4.335,488.0
4.804,484.0
5.273,488.0
5.781,484.0
6.25,480.0
6.718,472.0
7.187,464.0
7.656,464.0
8.125,460.0
8.593,460.0
9.023,460.0
9.492,468.0
10.0,488.0
10.507,507.0
11.015,511.0
11.523,503.0
12.031,507.0
12.539,515.0
13.046,515.0
13.554,507.0
14.062,500.0
14.57,492.0
15.039,472.0
15.507,468.0
15.976,460.0
16.406,457.0
16.875,453.0
17.343,457.0
17.773,457.0
18.242,457.0
18.71,453.0
19.14,453.0
19.609,457.0
20.078,457.0
20.507,453.0
20.976,457.0
21.445,460.0
21.914,460.0
22.343,460.0
22.812,460.0
23.281,453.0
23.71,445.0
24.179,445.0
24.609,445.0
25.039,441.0
25.507,441.0
25.937,441.0
26.367,441.0
26.796,441.0
27.265,437.0
27.695,437.0
28.125,441.0
28.554,437.0
29.023,437.0
29.453,437.0
29.882,445.0
30.351,453.0
30.781,457.0
31.25,457.0
31.718,460.0
32.187,460.0
32.656,460.0
33.085,457.0
33.554,457.0
34.023,457.0
34.453,460.0
34.921,460.0
35.39,468.0
35.859,464.0
36.328,460.0
36.796,457.0
37.226,453.0
37.695,453.0
38.125,453.0
38.593,457.0
39.062,457.0
39.492,449.0
39.96,453.0
40.39,449.0
40.859,449.0
41.328,453.0
41.757,449.0
42.187,445.0
42.656,445.0
43.085,445.0
43.554,445.0
43.984,445.0
44.453,453.0
44.882,453.0
45.351,457.0
45.82,464.0
46.289,472.0
46.757,476.0
47.226,472.0
47.695,476.0
48.203,476.0
48.671,472.0
49.14,464.0
49.57,460.0
50.039,464.0
50.507,457.0
50.976,457.0
51.406,457.0
51.875,453.0
52.343,453.0
52.773,453.0
53.242,453.0
53.671,453.0
54.14,453.0
54.609,453.0
55.039,449.0
55.507,457.0
55.937,453.0
56.406,457.0
56.875,453.0
57.304,453.0
57.773,449.0
58.203,453.0
58.671,445.0
59.101,449.0
59.57,449.0
60.0,449.0
60.468,445.0
60.898,449.0
61.367,457.0
61.835,464.0
62.304,468.0
62.773,468.0
63.242,464.0
63.71,468.0
64.179,468.0
64.648,464.0
65.078,460.0
65.546,457.0
66.015,457.0
66.484,457.0
66.914,457.0
67.382,464.0
67.851,464.0
68.32,468.0
68.789,464.0
69.257,468.0
69.726,468.0
70.195,464.0
70.664,460.0
71.132,464.0
71.601,472.0
72.07,476.0
72.539,476.0
73.007,480.0
73.515,480.0
73.984,476.0
74.453,472.0
74.921,460.0
75.39,464.0
75.82,457.0
76.289,457.0
76.757,453.0
77.187,457.0
77.656,460.0
78.125,468.0
78.593,480.0
79.101,488.0
79.609,496.0
80.078,492.0
80.585,492.0
81.054,492.0
81.562,488.0
82.031,488.0
82.539,488.0
83.007,480.0
83.515,480.0
83.984,476.0
84.453,468.0
84.921,464.0
85.351,457.0
85.82,460.0
86.289,457.0
86.757,457.0
87.187,449.0
87.656,453.0
88.085,460.0
88.554,464.0
89.062,476.0
89.531,492.0
90.039,484.0
90.507,484.0
90.976,480.0
91.484,480.0
91.953,476.0
92.421,476.0
92.89,472.0
93.359,476.0
93.828,472.0
94.296,472.0
94.765,464.0
95.234,453.0
95.703,453.0
96.132,453.0
96.562,441.0
97.031,445.0
