TIME,LABEL,Structure
2.45,Seated Slow Breathing,Seated
33.0,Standing Regular Breathing,Standing
63.0,Introductions,Vocal
97.57,Hurra for deg,Vocal
130.0,Running in place,Running
146.6,Seated recovery,Seated
165.0,End,End
